timestamp,solar_power,wind_power,battery_soc,load_demand,grid_power,temperature,ems_action
2026-06-01 00:00:00,0.0,0.53,48.5,34.7,0.0,18.45,NORMAL_OPERATION
2026-06-01 00:05:00,0.0,0.34,47.0,34.59,0.0,18.36,NORMAL_OPERATION
2026-06-01 00:10:00,0.0,0.3,45.49,34.61,0.0,17.88,NORMAL_OPERATION
2026-06-01 00:15:00,0.0,1.16,44.0,35.2,0.0,18.02,NORMAL_OPERATION
2026-06-01 00:20:00,0.0,0.73,42.51,34.72,0.0,18.12,NORMAL_OPERATION
2026-06-01 00:25:00,0.0,0.43,40.97,35.62,0.0,17.63,NORMAL_OPERATION
2026-06-01 00:30:00,0.0,1.17,39.45,35.68,0.0,17.9,NORMAL_OPERATION
2026-06-01 00:35:00,0.0,1.41,37.95,35.63,0.0,17.59,NORMAL_OPERATION
2026-06-01 00:40:00,0.0,0.68,36.47,34.41,0.0,17.61,NORMAL_OPERATION
2026-06-01 00:45:00,0.0,0.8,34.97,35.14,0.0,17.13,NORMAL_OPERATION
2026-06-01 00:50:00,0.0,0.82,33.43,35.79,0.0,17.15,NORMAL_OPERATION
2026-06-01 00:55:00,0.0,1.97,32.01,34.39,0.0,17.25,NORMAL_OPERATION
2026-06-01 01:00:00,0.0,1.54,30.52,35.5,0.0,17.46,NORMAL_OPERATION
2026-06-01 01:05:00,0.0,0.57,29.03,34.57,0.0,17.21,NORMAL_OPERATION
2026-06-01 01:10:00,0.0,2.73,27.62,34.8,0.0,16.67,NORMAL_OPERATION
2026-06-01 01:15:00,0.0,1.48,26.18,34.47,0.0,16.74,NORMAL_OPERATION
2026-06-01 01:20:00,0.0,1.9,24.7,35.58,0.0,16.8,NORMAL_OPERATION
2026-06-01 01:25:00,0.0,1.76,23.28,34.07,0.0,16.45,NORMAL_OPERATION
2026-06-01 01:30:00,0.0,2.81,21.89,34.61,0.0,16.3,NORMAL_OPERATION
2026-06-01 01:35:00,0.0,1.98,20.4,35.97,0.0,16.45,NORMAL_OPERATION
2026-06-01 01:40:00,0.0,2.59,20.0,34.92,23.27,16.09,GRID_FALLBACK
2026-06-01 01:45:00,0.0,1.86,20.0,35.2,33.34,16.54,GRID_FALLBACK
2026-06-01 01:50:00,0.0,2.16,20.0,34.73,32.57,16.67,GRID_FALLBACK
2026-06-01 01:55:00,0.0,2.76,20.0,34.97,32.21,16.62,GRID_FALLBACK
2026-06-01 02:00:00,0.0,3.46,20.0,34.75,31.29,16.48,GRID_FALLBACK
2026-06-01 02:05:00,0.0,4.34,20.0,35.8,31.46,16.09,GRID_FALLBACK
2026-06-01 02:10:00,0.0,4.23,20.0,35.47,31.24,16.04,GRID_FALLBACK
2026-06-01 02:15:00,0.0,3.8,20.0,35.2,31.4,16.14,GRID_FALLBACK
2026-06-01 02:20:00,0.0,1.98,20.0,35.55,33.57,16.1,GRID_FALLBACK
2026-06-01 02:25:00,0.0,3.95,20.0,34.41,30.46,15.86,GRID_FALLBACK
2026-06-01 02:30:00,0.0,2.8,20.0,34.8,32.0,16.46,GRID_FALLBACK
2026-06-01 02:35:00,0.0,3.57,20.0,34.4,30.83,15.83,GRID_FALLBACK
2026-06-01 02:40:00,0.0,2.27,20.0,35.86,33.59,15.69,GRID_FALLBACK
2026-06-01 02:45:00,0.0,4.28,20.0,34.32,30.04,15.67,GRID_FALLBACK
2026-06-01 02:50:00,0.0,3.49,20.0,35.64,32.15,16.36,GRID_FALLBACK
2026-06-01 02:55:00,0.0,3.45,20.0,34.86,31.41,15.75,GRID_FALLBACK
2026-06-01 03:00:00,0.0,6.8,20.0,34.3,27.5,16.18,GRID_FALLBACK
2026-06-01 03:05:00,0.0,2.95,20.0,34.47,31.52,15.87,GRID_FALLBACK
2026-06-01 03:10:00,0.0,3.09,20.0,35.64,32.55,15.95,GRID_FALLBACK
2026-06-01 03:15:00,0.0,2.45,20.0,36.0,33.55,16.31,GRID_FALLBACK
2026-06-01 03:20:00,0.0,6.78,20.0,34.46,27.68,16.41,GRID_FALLBACK
2026-06-01 03:25:00,0.0,2.73,20.0,35.1,32.37,15.82,GRID_FALLBACK
2026-06-01 03:30:00,0.0,4.73,20.0,35.15,30.42,15.88,GRID_FALLBACK
2026-06-01 03:35:00,0.0,6.58,20.0,34.33,27.75,16.49,GRID_FALLBACK
2026-06-01 03:40:00,0.0,5.64,20.0,35.13,29.49,16.5,GRID_FALLBACK
2026-06-01 03:45:00,0.0,8.07,20.0,34.73,26.66,16.22,GRID_FALLBACK
2026-06-01 03:50:00,0.0,6.43,20.0,35.12,28.69,15.85,GRID_FALLBACK
2026-06-01 03:55:00,0.0,4.52,20.0,35.22,30.7,15.93,GRID_FALLBACK
